Occupation Name,Women,Men
All occupations,0.47,0.53
Computer and information systems managers,0.27,0.73
Computer systems analysts,0.34,0.66
Information security analysts,0.18,0.82
Computer programmers,0.21,0.79
"Software developers, applications and systems software",0.2,0.8
Web developers,0.35,0.65
Computer support specialists,0.27,0.73
Database administrators,0.28,0.72
Network and computer systems administrators,0.19,0.81
Computer network architects,0.12,0.88
"Computer occupations, all other",0.23,0.77
