Occupation name,Growth rate
All occupations,0.11
Computer and information research scientists,0.15
Computer and information systems managers,0.15
Computer network architects,0.15
"Computer occupations, all other",0.04
Computer programmers,0.08
Computer support specialists,0.17
Computer systems analysts,0.25
Database administrators,0.15
Information security analysts,0.37
Network and computer systems administrators,0.12
"Software developers, applications and systems software",0.22
Web developers,0.20
